PersonID,Name,EmploymentHistory,Gender,Generation,Age,Multiple Doctoral Degrees,Multiple Master's Degrees,Multiple Bachelor's Degrees,Doctorate Area of Study,Pathway,Years in Presidency,Provost or Dean,Sector,Size Category,Research Expenses Per FTE,Endowment Value Per FTE,Carnegie Classification,Land Grant,president
379,"Augsburger, Arol ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,11-15,Provost,"Private not-for-profit, 4-year or above","Under 1,000",$.1K - $1K,$1K - $10K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
380,"Cramb, Alan W. ",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Science/Math,Traveler,0-3,Provost,"Private not-for-profit, 4-year or above","5,000 - 9,999",$10K - $100K,$10K - $100K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
381,"Dietz, Larry ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Not available,"Public, 4-year or above","20,000 and above",$1K - $10K,$1K - $10K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
382,"Jensen, Eric R. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Social Science,Traditionalist,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
384,"Massey, Edwin R. ",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,15+,Not available,"Public, 4-year or above","10,000 - 19,999",$0K - $.1K,$1K - $10K,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Not a Land Grant Institution,University Presidents
385," Snyder, Arthur E.",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,Not available,Dean,"Private not-for-profit, 4-year or above","5,000 - 9,999",$0K - $.1K,$10K - $100K,Special Focus Four-Year: Business & Management Schools,Not a Land Grant Institution,University Presidents
386,"Bradley, Daniel J. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Science/Math,Traditionalist,7-10,Dean,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
387,"Driscoll, Michael",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Science/Math,Traditionalist,4-6,Provost,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
389," Cruz-Uribe, Kathryn",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traditionalist,4-6,Provost,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
390,"Sciame, Susan ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,0-3,Provost,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
391,"Lowe, William J. ",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Social Science,Traditionalist,7-10,Provost,"Public, 4-year or above","5,000 - 9,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
392,"Carwein, Vicky Carwein",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,4-6,Dean,"Public, 4-year or above","10,000 - 19,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
